sample_id,species,1100,1110,1120,1130,1140,1150,1160,1170
S001,setosa,0.12,0.18,0.25,0.32,0.35,0.30,0.22,0.16
S002,versicolor,0.14,0.21,0.27,0.34,0.37,0.31,0.24,0.18
S003,virginica,0.16,0.19,0.29,0.38,0.40,0.33,0.23,0.17
S004,setosa,0.17,0.23,0.32,0.40,0.42,0.37,0.26,0.19
S005,versicolor,0.19,0.25,0.33,0.41,0.45,0.38,0.28,0.22
S006,virginica,0.20,0.26,0.36,0.44,0.47,0.41,0.30,0.24
S007,setosa,0.23,0.28,0.38,0.46,0.50,0.43,0.33,0.25
S008,versicolor,0.24,0.30,0.39,0.49,0.51,0.46,0.35,0.27
S009,virginica,0.26,0.32,0.42,0.51,0.54,0.47,0.36,0.29
S010,setosa,0.27,0.34,0.44,0.53,0.56,0.49,0.38,0.31
S011,versicolor,0.29,0.35,0.45,0.56,0.58,0.51,0.40,0.32
S012,virginica,0.31,0.37,0.48,0.58,0.60,0.53,0.42,0.34
